mere,単に。ただ、単なる。,たんに。ただ、たんなる。
research,研究、調査。新しい知識や情報を発見するために体系的に行う活動。例medical research(医学研究),けんきゅう、ちょうさ。あたらしいちしきやじょうほうをはっけんするためにたいけいてきにおこなうかつどう。れいmedical research(いがくけんきゅう)
consolidate,複数の要素を一つにまとめること。,ふくすうのようそをひとつにまとめること。
spouse,配偶者、夫または妻,はいぐうしゃ、おっとまたはつま
reject,拒否する、却下する、拒絶する。,きょひする、きゃっかする、きょぜつする。
structure,構造、組織。物事の組み立てや仕組み。,こうぞう、そしき。ものごとのくみたてやしくみ。
unavoidable,避けられない、必然的な。,さけられない、ひつぜんてきな。
arrive,到着する。ある場所に達すること。,とうちゃくする。あるばしょにたっすること。
stupid,愚かな、頭が悪い,おろかな、あたまがわるい
essentially,本質的に、根本的に。物事の最も重要な部分や性質に関して。,ほんしつてきに、こんぽんてきに。ものごとのもっともじゅうようなぶぶんやせいしつにかんして。
trained,特定スキルを習得した。,とくていすきるをしゅうとくした。
conscious,意識のある、自覚している。物事を認識できる状態。,いしきのある、じかくしている。ものごとをにんしきできるじょうたい。
audience,観客、視聴者、聴衆,かんきゃく、しちょうしゃ、ちょうしゅう
retirement,退職、引退、年金生活,たいしょく、いんたい、ねんきんせいかつ
complete,完了する、完全な。complete the task(タスクを完了する)、complete set(完全なセット)など。,かんりょうする、かんぜんな。complete the task(たすくをかんりょうする)、complete set(かんぜんなせっと)など。
expense,出費、費用。お金がかかること、または支出することを意味します。,しゅっぴ、ひよう。おかねがかかること、またはししゅつすることをいみします。
promote,推進する、または昇進する。何かを積極的に進めることや、地位が上がることを意味します。,すいしんする、またはしょうしんする。なにかをせっきょくてきにすすめることや、ちいがあがることをいみします。
simply,簡単に言えば、そのまま。,かんたんにいえば、そのまま。
minimize,可能な限り減らすこと。,かのうなかぎりへらすこと。
crop,作物、農作物,さくもつ、のうさくぶつ
barely,辛うじて、かろうじて。最低限の状態や程度を示す。,かろうじて、かろうじて。さいていげんのじょうたいやていどをしめす。
illustrate,例や図を用いて説明する。,れいやずをもちいてせつめいする。
persistent,粘り強い、執着する,ねばりづよい、しゅうちゃくする
disappointment,失望、落胆,しつぼう、らくたん
preserve,保存する、維持する,ほぞんする、いじする
vivid,鮮やかな、生き生きとした,せんやかな、いきいきとした
among,～の中で、複数の中のひとつとして。,~のなかで、ふくすうのなかのひとつとして。
self-esteem,自尊心、自分に対する評価。,じそんしん、じぶんにたいするひょうか。
Asia,アジア大陸と周辺諸島,あじあたいりくとしゅうへんしょしま
vehicle,車両や乗り物の総称。車やトラック、バスなど、人や物を運ぶための移動手段を指します。,しゃりょうやのりもののそうしょう。くるまやとらっく、ばすなど、にんやものをはこぶためのいどうしゅだんをさします。
accommodation,宿泊施設、便宜。滞在のための場所や設備。また、調整や便宜を図ることも。,しゅくはくしせつ、べんぎ。たいざいのためのばしょやせつび。また、ちょうせいやべんぎをはかることも。
consumer,消費者。商品やサービスを購入し、使用する個人や集団。,しょうひしゃ。しょうひんやさーびすをこうにゅうし、しようするこじんやしゅうだん。
usually,通常は、普段は,つうじょうは、ふだんは
custody,子供や財産の法的な管理権、親権。,こどもやざいさんのほうてきなかんりけん、しんけん。
provincial,地方の、または田舎の。,ちほうの、またはいなかの。
