thousand,千、千の
mayor,市長。市の行政を統括する責任者。
deem,みなす、判断する
paid,お金を支払った、または支払いが済んだ状態。
ratio,比率
justification,正当な理由、根拠
wig,カツラ、人工の髪
entertainment,娯楽、芸能、余興
pass over,を無視する、通り越す
him,彼を(に)
crust,外皮
hackneyed,使い古した
ardor,情熱、熱意
not,～でない
apprehend,捕らえる、捕獲する
detract,損なう
midday,真昼、正午の時間帯
cardiac,心臓の
mood board,ムードボード
automated,自動化した、機械化された。人の手を介さずに動作するように設定されたもの。
thyroid,甲状腺、頸部の腺
whisker,頬ひげ
polarize,分極化する
invite,招く、誘う、招待する
turn away,追い返す、追放する、追い払う
inclination,傾斜
driver,運転手、ドライバー
what about,～はどうですか
underwrite,引受保証する
registry,登記、記載
mass,塊、大部分
abominable,忌まわしい、憎むべき
dismal,陰気な、暗い
exclaim,叫ぶ、絶叫する、大声を上げる。
feel like,〜したい気がする
get together,集まる
house,家
invest in,に投資する、に資本を提供する
out,外に
publicity,宣伝、周知
bizarre,奇妙な、異様な
significant,重要な、意味のある。注目に値する、または統計的に有意な。
walkway,歩道、歩行者のために設計された道。
fragile,壊れやすい性質を持つ。
frame,物の骨組みや構造、枠。
healthy,健康的な、元気な
result in,結果として、結果～になる
put away,片付ける、整理する
filial,子の
retired,職業から離れた状態。
organization,組織、団体、機構。
hip to,に気づいている、認識している
at the sight of,を見て
send in,に送る、提出する
inconceivable,想像もつかない、信じられない
credibility,信頼性、信用
in the works,作業中で
revival,復活、再生、復興
rent,住居の賃貸借契約。
less,より少ない。量が他のものよりも少ないことを指します。例less than(〜より少ない)
from a distance,離れた場所から
peacefully,平和的に、穏やかに
yesterday,昨日
as usual,いつものように
site,場所、用地。何かが行われる場所、あるいは建物を建てるための土地。
histrionic,演技が過剰な、大げさな
face up,立ち向かう
plod,とぼとぼ歩く
antic,ふざけた
vote for,に賛成する、に投票する
windy city,風の街(シカゴの愛称)
arable,耕作可能な
craft,工芸、技能
grid,格子、格子状
kitchenware,台所で使う調理器具や食器
worry,心配させる、心配する
nominee,指名された候補者、推薦者
distract A from B,Aの気をBからそらす
sin city,悪の都市(ラスベガスの愛称)
transfusion,輸血
notify A of B,AにBを通知する
pendulum,振り子
froth,あぶく
either way,どちらにしても、どのみち
lose weight,体重を減らす
tried,試した
harangue,長い演説をする、説教する
exquisite,絶妙な、見事な
take cover,隠れる、避難する
problem,問題。解決しなければならない困難な状況。
render,与える
tripod,三脚
bare,裸の、露出の
vague,漠然とした、はっきりしない
abduction,拉致、誘拐
flamboyant,色鮮やかな
put into practice,を実行する
it is common to hear,を聞くのが一般的です、よく聞かれる
placement,配置、就職、設置
sack,荷物を入れるための大きな袋。
beneath,下方に、～の下で
sporadically,散発的に、まばらに
magnify,拡大する、増大する
keep on track,管理できている
insert,を差し込む、挿入する
consensus,複数人の合意形成。
demure,控えめな
column,柱、支えるための垂直な構造物。
coy,恥ずかしいふりをした、照れくさいふりをした
doom,破滅、悪い運命
inner,中心または内部の部分。
political,政治の。国家の運営や政策決定に関わる事柄を指します。
fence in,を囲い込む、さくで囲い込む
intelligently,かしこく
fault,失敗、欠陥。間違いや不具合。
irritating,腹立たしい
threat,脅威、危機
shrewd,鋭敏な、鋭い
sit back,深く座る、傍観する
registration,登録。公式な名簿や記録に名前を記載することを指します。
try hard,一生懸命する
glue,接着剤
flash,閃光、一瞬の光
warren,飼育場、飼育施設
fever,発熱、熱病
think twice,よく考える
acute,鋭角の、鋭い、敏感な。
appall,ぞっとさせる
mercenary,金目当ての
sewerage,下水
cry,泣く
alike,よく似た、類似の
approach,近づく、接近する。物事に対処する方法や手段
undo,元通りにする
funeral,葬儀、葬式、告別式
sneak,こっそり動く、忍び寄る
discriminate,差別する
novel,小説、新しいアイデアや形式。
break into tears,涙が出る、泣き出す
whack,打つ
be inferior to,より劣って、下回って
commissioned,特定の目的で委託された。
magnanimous,寛大な
in contrast to,とは対照的に
gracious,優雅な
providence,摂理
coarsely,粗雑に
row,ボートを漕ぐ、列
side job,副業、アルバイト
crank up,刺激する、始動する
luxurious,豪華な、贅沢な
effulgent,輝かしい、明るい
to tell the truth,本当のことを言うと
surrounding,周囲、付近
sordid,むさ苦しい
musician,音楽家
ecclesiastical,教会の
hit the hay,寝る、床につく
progress,発展や進行状況。
commitment,約束、責務
dock,船を停めるための船着場。
decline,減少する、衰退する。数量や状態が悪化する方向に向かうこと。
patriot,愛国者、愛国主義者
lived,住んだ
refugee,戦争や迫害からの避難民
sell out,売りつくる、売却する
in obedience to,従順で、応じて
dogma,教義、信条
visitor,観光客
postulate,仮定する
window,窓
dietary,食事に関すること。
wicket,窓口
alias,別名は、別称は
sustenance,食糧、食料
seminary,神学校、神学院
evade,避ける、避ける
corpus,文書資料の集成、文献集積
stop A from doing B,AがBすることを止める、AがBするのを禁じる
empty,空の、中身のない。何もはいっていない状態。
ease into,にゆっくりと入る、スムーズに入る、滞りなく入る
slightly,わずかに、少し、かすかに。
ad,広告、宣伝
medical checkup,健康診断、医療診断、照合
counterclockwise,反時計回りの、逆回り
hangover,二日酔い
affectionate,愛情深い、優しい
go abroad,外国に行く
kindergarten,幼稚園
fancy,空想、想像
piracy,海賊行為、著作権侵害
ferret out,探し出す、暴く
oversight,監督、見落とし
ice,氷
dreary,悲しくさせる
become,～の状態に変わる、または何かになること。
screw,ねじ、スクリュー
bounty,寛大、寛容
rosy,バラ色の
delivery,郵送、配達。商品などを指定された場所に届けること。
tense,時制、時間体系
complain,不平や不満を表現する。
confrontation,対立や対決の場面、直面すること。
undergraduate,学部生、大学生
scar,傷跡、精神的傷跡
infatuate,夢中にする
verdict,評決、判断、裁判の結果。
scribe,書記
gloat,満足げに眺める、得意に見る
submit A to B,AをBに提出する
earnestly,真剣に、心から、または真摯な態度で。
campaign finance,選挙資金
clump,木立ち、木々
commend,褒める、賞賛する
deplete,枯渇させる、使い果たす
ignorance,無知、無学
empathy,共感、感情移入
cognition,認知、認識
orthodox,正統派の
net,網
ornamental,装飾用の
genially,和やかに
redeem,を引き換える、買い戻す
purge,粛清する、浄化する
yell,大声で叫ぶ、大声を出す
scuttle,急いで行く、速く走る
firm,固い、または企業。しっかりとした性質を持つ物や、事業を行う組織を指します。
